,unemployment,coincident,leading_price,ESI,export_price,current_account,GDP,land_price_change,CCSI,manufacturing_capacity_utilization,us_policy_rate,kosdaq_index,capital_account,us_industrial_production,us_consumer_sentiment,us_CPI,economic_growth_rate,interest_rate,pred,datetime
35,3.5,100.1,100.7,112.2,127.0,-1743.9,417614.0,0.113,114.0,118.3,0.125,510.69,22.5,1.0,74.5,1.3,1.4,2.5,2.62003,10-Dec
36,3.8,101.0,101.0,112.1,124.74,-3159.6,390920.0,0.091,113.0,114.1,0.125,521.38,-17.1,-0.2,74.2,2.1,1.0,2.75,2.76537,11-Jan
37,4.5,100.8,101.2,113.6,127.24,1344.9,390920.0,0.089,110.0,99.1,0.125,504.46,-5.4,-0.4,77.5,2.1,1.0,2.75,2.67949,11-Feb
38,4.3,100.9,101.1,110.2,131.09,-2438.3,390920.0,0.108,99.0,120.0,0.125,525.42,-7.5,1.0,67.5,2.1,1.0,3.0,2.69348,11-Mar
39,3.7,100.4,100.9,113.9,129.26,-2545.2,409157.0,0.098,101.0,116.5,0.125,511.0,-3.2,-0.3,69.8,3.4,0.4,3.0,2.98403,11-Apr
40,3.2,100.8,100.8,111.7,127.0,-1247.2,409157.0,0.097,105.0,117.2,0.125,484.54,5.2,0.1,74.3,3.4,0.4,3.0,2.97618,11-May
41,3.3,101.0,100.7,108.7,125.55,1321.8,409157.0,0.1,102.0,118.8,0.125,479.55,-11.7,0.3,71.5,3.4,0.4,3.25,2.92597,11-Jun
42,3.3,101.0,100.6,107.8,123.12,3938.8,407007.0,0.101,103.0,114.4,0.125,536.05,0.1,0.5,63.7,3.8,0.5,3.25,2.97541,11-Jul
43,3.0,101.2,100.4,106.7,124.03,4470.5,407007.0,0.094,98.0,107.7,0.125,493.44,-3.3,0.6,55.8,3.8,0.5,3.25,3.24182,11-Aug
44,3.0,100.8,100.1,106.3,127.67,2996.3,407007.0,0.094,97.0,110.8,0.125,449.66,-2.2,-0.1,59.5,3.8,0.5,3.25,3.2629,11-Sep
45,2.9,101.0,100.0,104.4,129.21,3572.4,428340.0,0.095,100.0,116.7,0.125,490.69,-1.2,0.7,60.8,3.3,0.7,3.25,3.27928,11-Oct
46,2.9,100.7,99.8,104.5,125.82,6645.7,428340.0,0.095,105.0,116.3,0.125,492.81,-2.0,0.0,63.7,3.3,0.7,3.25,3.05893,11-Nov
47,3.0,100.7,99.6,100.3,125.69,1738.1,428340.0,0.098,99.0,114.2,0.125,500.18,-63.7,0.5,69.9,3.3,0.7,3.25,3.23485,11-Dec
48,3.5,100.3,99.7,101.3,126.85,-2288.0,400808.0,0.087,97.0,105.0,0.125,513.99,-9.6,0.6,75.0,2.8,1.0,3.25,3.24045,12-Jan
49,4.2,100.7,100.1,105.0,126.39,-2584.0,400808.0,0.091,102.0,110.4,0.125,542.3,-5.8,0.3,75.3,2.8,1.0,3.25,3.22307,12-Feb
50,3.7,100.5,100.4,106.3,127.18,3580.0,400808.0,0.12,102.0,116.9,0.125,519.56,-3.8,-0.5,76.2,2.8,1.0,3.25,2.95742,12-Mar
51,3.5,100.6,100.5,109.7,127.72,-144.8,419611.0,0.116,107.0,112.3,0.125,478.89,0.3,0.7,76.4,1.9,0.4,3.25,3.02236,12-Apr
52,3.1,100.7,100.2,105.8,126.67,5015.8,419611.0,0.112,107.0,116.5,0.125,471.94,-1.0,0.2,79.3,1.9,0.4,3.25,3.22051,12-May
53,3.2,100.6,100.2,101.2,124.89,6069.3,419611.0,0.097,101.0,115.2,0.125,489.16,-6.0,0.0,73.2,1.9,0.4,3.25,3.21886,12-Jun
