,unemployment,coincident,leading_price,ESI,export_price,current_account,GDP,land_price_change,CCSI,manufacturing_capacity_utilization,us_policy_rate,kosdaq_index,capital_account,us_industrial_production,us_consumer_sentiment,us_CPI,economic_growth_rate,interest_rate,pred,datetime
153,3.7,97.8,100.2,88.8,97.88,12057.1,546119.0,0.294,93.0,102.8,0.125,792.65,-17.4,0.7,81.8,1.2,1.6,0.5,0.495267,20-Oct
154,3.4,98.4,100.7,91.9,97.42,9618.8,546119.0,0.322,99.0,105.6,0.125,886.11,-91.4,0.4,76.9,1.2,1.6,0.5,0.502274,20-Nov
155,4.1,98.5,101.0,85.7,97.99,12063.0,546119.0,0.343,91.0,109.0,0.125,968.42,-36.5,1.3,80.7,1.2,1.6,0.5,0.548812,20-Dec
156,5.7,98.1,101.3,92.9,100.16,5762.3,508035.0,0.311,95.0,100.7,0.125,928.73,-12.7,0.6,79.0,1.9,1.5,0.5,0.756782,21-Jan
157,4.9,98.2,101.6,96.8,103.68,6520.2,508035.0,0.311,97.0,93.1,0.125,913.94,-16.1,-3.3,76.8,1.9,1.5,0.5,0.538363,21-Feb
158,4.3,98.5,101.9,101.7,107.43,6688.8,508035.0,0.338,101.0,109.5,0.125,956.17,-5.0,2.8,84.9,1.9,1.5,0.5,0.496505,21-Mar
159,4.0,99.4,102.3,106.0,110.26,518.1,538210.0,0.35,103.0,104.6,0.125,983.45,-16.2,0.1,88.3,4.8,1.3,0.5,0.500105,21-Apr
160,4.0,99.5,102.6,105.9,112.29,11307.2,538210.0,0.342,106.0,103.1,0.125,981.78,-7.6,0.9,82.9,4.8,1.3,0.5,0.500237,21-May
161,3.8,99.5,102.8,110.1,113.36,9972.0,538210.0,0.35,111.0,108.7,0.125,1029.96,4.8,0.5,85.5,4.8,1.3,0.5,0.499601,21-Jun
162,3.2,99.4,102.7,104.6,117.77,7387.0,537548.0,0.353,104.0,107.9,0.125,1031.14,-13.9,0.4,81.2,5.3,0.0,0.75,0.74863,21-Jul
163,2.6,99.5,102.4,105.8,119.27,6701.4,537548.0,0.359,103.0,101.7,0.125,1038.33,-18.4,0.0,70.3,5.3,0.0,0.75,0.746009,21-Aug
164,2.7,99.4,102.0,105.3,120.73,9510.3,537548.0,0.358,104.0,103.3,0.125,1003.27,-9.8,-1.0,72.8,5.3,0.0,0.75,0.749379,21-Sep
165,2.8,99.6,101.6,106.6,123.42,7903.9,569629.0,0.345,107.0,106.3,0.125,992.33,-4.9,1.4,71.7,6.7,1.6,0.75,0.766151,21-Oct
166,2.6,99.9,101.3,107.4,122.27,6592.0,569629.0,0.344,108.0,111.1,0.125,965.63,-40.9,0.9,67.4,6.7,1.6,1.0,1.04937,21-Nov
167,3.5,100.7,101.2,105.3,120.78,6365.0,569629.0,0.335,104.0,117.2,0.125,1033.98,-14.6,-0.1,70.6,6.7,1.6,1.0,1.05393,21-Dec
168,4.1,101.1,101.2,106.4,122.23,1634.2,525699.0,0.3,105.0,106.0,0.125,872.87,-5.7,0.0,67.2,8.0,0.5,1.25,1.24897,22-Jan
169,3.4,101.3,100.9,106.7,124.89,5160.9,525699.0,0.292,104.0,98.3,0.125,881.07,-4.0,0.6,62.8,8.0,0.5,1.25,1.25168,22-Feb
170,3.0,101.0,100.7,104.3,132.6,7170.9,525699.0,0.311,104.0,112.8,0.375,944.53,43.5,0.8,59.4,8.0,0.5,1.25,1.29744,22-Mar
171,3.0,100.6,100.5,106.6,134.57,567.1,554536.0,0.318,104.0,108.0,0.375,904.75,-8.6,0.2,65.2,8.6,0.8,1.5,1.52848,22-Apr
172,3.0,100.7,100.6,107.6,138.64,4018.8,554536.0,0.336,103.0,109.1,0.875,893.36,-0.6,0.1,58.4,8.6,0.8,1.75,1.71387,22-May
173,3.0,100.8,100.7,103.4,140.0,5920.9,554536.0,0.323,97.0,108.7,1.625,745.44,2.1,-0.1,50.0,8.6,0.8,1.75,1.71136,22-Jun
174,2.9,101.0,100.4,98.5,136.54,1851.2,555872.0,0.304,86.0,105.8,2.375,803.62,-4.0,0.2,51.5,8.3,0.4,2.25,2.50982,22-Jul
175,2.1,101.4,100.3,99.9,134.73,-4102.9,555872.0,0.276,89.0,99.9,2.375,807.04,-2.2,0.1,58.2,8.3,0.4,2.5,3.25456,22-Aug
176,2.4,101.3,100.3,98.6,138.52,1861.6,555872.0,0.197,92.0,100.0,3.125,672.65,78.1,0.4,58.6,8.3,0.4,2.5,2.55023,22-Sep
177,2.4,101.2,100.3,95.7,140.12,762.4,576052.0,0.081,89.0,101.7,3.125,695.33,21.7,-0.1,59.9,7.1,-0.5,3.0,2.77136,22-Oct
178,2.3,100.7,100.1,91.9,132.49,-1323.6,576052.0,-0.005,86.0,103.8,3.875,729.54,-135.4,-0.3,56.7,7.1,-0.5,3.25,2.96278,22-Nov
179,3.0,100.2,99.6,92.1,124.37,2307.1,576052.0,-0.032,90.0,103.7,4.375,679.29,15.8,-1.2,59.8,7.1,-0.5,3.25,3.22734,22-Dec
180,3.6,99.8,99.3,90.7,120.65,-8928.2,531552.0,-0.036,91.0,92.5,4.375,740.49,7.2,0.9,64.9,5.8,0.4,3.5,3.47139,23-Jan
181,3.1,100.0,99.0,91.8,121.58,-1902.5,531552.0,-0.021,90.0,91.8,4.625,791.6,-0.6,0.1,66.9,5.8,0.4,3.5,3.81021,23-Feb
182,2.9,100.3,98.8,91.9,124.12,-1290.3,531552.0,0.008,92.0,106.3,4.875,847.52,-37.8,0.0,62.0,5.8,0.4,3.5,3.78527,23-Mar
183,2.8,100.5,98.6,94.5,124.41,-2427.2,559956.0,0.015,95.0,99.4,4.875,842.83,-52.5,0.4,63.7,4.0,0.6,3.5,3.52414,23-Apr
184,2.7,100.6,98.7,94.9,122.48,2092.5,559956.0,0.043,98.0,103.7,5.125,856.94,74.7,-0.2,59.0,4.0,0.6,3.5,3.53115,23-May
185,2.7,100.5,99.1,96.4,118.5,3900.4,559956.0,0.051,101.0,104.4,5.125,868.24,46.5,-0.6,64.2,4.0,0.6,3.5,3.49808,23-Jun
186,2.7,100.1,99.4,94.8,118.5,3727.0,563643.0,0.063,104.0,98.8,5.375,935.97,-26.3,0.7,71.5,3.5,0.8,3.5,3.51528,23-Jul
187,2.0,100.0,99.4,94.7,123.35,6142.8,563643.0,0.106,103.0,100.4,5.375,928.4,-26.5,0.0,69.4,3.5,0.8,3.5,3.70128,23-Aug
188,2.3,99.8,99.6,93.4,125.53,7295.6,563643.0,0.128,100.0,102.7,5.375,841.02,23.1,0.2,67.8,3.5,0.8,3.5,3.72671,23-Sep
189,2.1,99.9,99.8,92.4,126.37,8233.1,588069.0,0.158,98.0,102.5,5.375,736.1,43.7,-0.7,63.8,3.2,0.5,3.5,3.71639,23-Oct
190,2.3,99.9,100.1,91.8,122.08,7045.1,588069.0,0.157,97.0,106.7,5.375,831.68,-11.2,0.3,61.3,3.2,0.5,3.5,3.68599,23-Nov
191,3.3,99.8,100.2,91.7,120.84,8933.4,588069.0,0.148,100.0,104.7,5.375,866.57,6.8,-0.2,69.7,3.2,0.5,3.5,3.69767,23-Dec
192,3.7,99.9,100.2,91.8,124.59,3048.2,548923.0,0.131,102.0,101.0,5.375,799.24,23.9,-1.1,79.0,3.2,1.3,3.5,3.70613,24-Jan
193,3.2,100.1,100.4,93.7,126.54,6444.1,548923.0,0.134,102.0,92.2,5.375,862.96,62.0,1.2,76.9,3.2,1.3,3.5,3.71234,24-Feb
194,3.0,99.8,100.2,92.5,126.94,6989.4,548923.0,0.166,101.0,103.3,5.375,905.5,-5.5,-0.2,79.4,3.2,1.3,3.5,3.8569,24-Mar
195,3.0,99.7,100.5,94.8,132.55,1486.3,572793.0,0.178,101.0,103.4,5.375,868.93,40.1,-0.2,77.2,3.2,-0.2,3.5,3.80445,24-Apr
196,3.0,99.1,100.5,94.1,131.78,9094.5,572793.0,0.183,98.0,104.9,5.375,839.98,165.0,0.6,69.1,3.2,-0.2,3.5,3.72108,24-May
197,2.9,99.0,100.7,95.0,132.88,13096.2,572793.0,0.19,101.0,104.7,5.375,840.44,-1.1,0.3,68.2,3.2,-0.2,3.5,3.4872,24-Jun
198,2.5,98.3,100.7,96.3,133.88,9051.1,571839.0,0.198,104.0,100.8,5.375,803.15,6.0,-0.7,66.4,2.6,0.1,3.5,3.54682,24-Jul
199,1.9,98.2,100.6,94.5,130.08,6730.2,571839.0,0.196,101.0,100.7,5.375,767.66,-2.7,0.5,67.9,2.6,0.1,3.5,3.76642,24-Aug
200,2.1,98.1,100.7,94.0,126.77,11287.8,571839.0,0.194,100.0,98.7,4.875,763.88,-3.1,-0.4,70.1,2.6,0.1,3.5,3.716,24-Sep
201,2.3,98.1,100.6,92.8,128.54,9401.2,595368.0,0.196,102.0,104.9,4.875,743.06,7.2,-0.5,70.5,2.7,0.1,3.25,3.34918,24-Oct
202,2.2,97.6,100.8,93.0,130.57,10046.4,595368.0,0.188,101.0,103.8,4.625,678.19,-9.9,-0.1,71.8,2.7,0.1,3.0,3.06821,24-Nov
203,3.8,97.6,100.6,83.3,133.75,12367.5,595368.0,0.176,88.0,106.7,4.375,678.19,21.4,1.0,74.0,2.7,0.1,3.0,3.01382,24-Dec
204,,,,,,,,,,,,,,,,,,,2.9658769365422466,25-Jan
205,,,,,,,,,,,,,,,,,,,2.7169242062544865,25-Feb
206,,,,,,,,,,,,,,,,,,,2.5242343253377455,25-Mar
207,,,,,,,,,,,,,,,,,,,3.0281157065405946,25-Apr
208,,,,,,,,,,,,,,,,,,,2.4967494206680323,25-May
209,,,,,,,,,,,,,,,,,,,2.487347086425586,25-Jun
210,,,,,,,,,,,,,,,,,,,2.105952091168997,25-Jul
211,,,,,,,,,,,,,,,,,,,2.0717812344329904,25-Aug
212,,,,,,,,,,,,,,,,,,,1.345632386602551,25-Sep
213,,,,,,,,,,,,,,,,,,,1.3794568562988356,25-Oct
214,,,,,,,,,,,,,,,,,,,3.4146758005468847,25-Nov
215,,,,,,,,,,,,,,,,,,,3.3083439674919566,25-Dec
